id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
1114|EXIM Manager (Export and Import)|Banten|IDR|Manajer/Asisten Manajer|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pelayanan,Logistik/Rantai Pasokan|Asuransi kesehatan;Bisnis (contoh: Kemeja);BPJS, Dormitory||2001 - 5000 pekerja|Manufaktur/Produksi|Immediately requirement,EXIM Manager (Export and Import)Qualifications:Maximum age 40 years old.Minimum have Diploma or Bachelor (preferable) degree.5 Years Work Experience in Export and Impor from Manufacturing Industries.Knowledge in Indonesian Regulation and International Law for Export and ImportMeticulous and with a keen eye for detailsFluent in English oral & written. Fluent in Mandarin is an advantage.Ability to work together as a team and work under pressure.Excellent skill in Microsoft Office (Excel).Honest, accountable, diligent & organized, loyal.Placement in Cikande, Kabupaten Serang, BantenJob Description :Looking for a competitive and reputable shipping line for exportPrepare and be responsible for import and export documentsTaking care of imported goods, both additional materials and productionMaintain good relations with relevant agencies, both customs and quarantineFacilities:Tunjangan BPJS, Company Dormitory, etc.
5684|Pengawas Konstruksi|Bogor|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sarjana (S1)|Penuh Waktu|Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|4 days|201 - 500 pekerja|Properti/Real Estate|Deskripsi pekerjaan:Mengawasi jalannya pembangunan agar sesuai dengan urutan dan metode kerja yang baik dan benar.Mengawasi perkembangan pekerjaan di lapangan agar sesuai dengan target yang ditetapkan.Memastikan bahan yang digunakan selama pembangunan sudah sesuai dengan spesifikasi yang ditetapkan.Melakukan opname terhadap pekerjaan yang telah selesai.Persyaratan:Pendidikan minimal D4, S1 Teknik SipilUsia Maksimal 30 TahunMengetahui mengerti urutan serta metode dalam pembangunan rumahMampu mengoperasikan AutoCad dan program sejenisBerperilaku baik, memiliki kemampuan komunikasi dan kerjasama tim yang baikMampu bekerja dibawah tekananBersedia ditempatkan diwilah Bogor BaratTerdapat juga area penempatan di Boyolali, Jawa Tengah
27622|CLINIC Operation Manager|Sumatera Utara|IDR|Manajer/Asisten Manajer|5 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Layanan Kesehatan,Praktisi/Asisten Medis|||1- 50 pekerja|Makanan & Minuman/Katering/Restoran|# must have good experiences in above field# excellent team worker and good decision making# work place in Medan and must attend Online also Offline interview# multi task person with good attitude# experiences in online also offline businesses# do not apply again if you have previously done so# must be able to demonstrate excellent communication skillsMust have experience in Clinic operationMust be able to demonstrate critical decision making
20355|Programmer Staff (ASP.Net) di Jakarta|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi Gigi;Asuransi kesehatan;Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Pension|7 days|1001 - 2000 pekerja|Telekomunikasi|Deskripsi Pekerjaan:Bekerja sama dengan system analyst untuk mengembangkan software atau aplikasi yang berhubungan dengan kebutuhan bisnis perusahaanCoding dan debugging aplikasi/programMemastikan kode pemrograman bebas dari kesalahan, dapat dibaca, efisien, dan terorganisir agar mudah diaksesMelakukan tes pada sistem sebelum aplikasi/program diluncurkanMemperbaiki sistem/aplikasi yang bermasalah, berkoordinasi dengan system analystMengimplementasikan sistem yang sudah dibuatBekerja sama dengan sistem analis untuk melakukan peningkatan pada sistem dan software untuk membuatnya menjadi lebih aman dan efisien.Memecahkan masalah terkait aplikasi/system IT secara efektif dan efisienKualifikasi:Pendidikan minimal S1 Jurusan Sistem Informatika.Usia maksimal 35 tahun.Menguasai Basic Web Development : HTML, CSS, JavascriptMenguasai Programming Language : ASP.NetMenguasai Database : SQL Server, MySqlPengalaman minmal 1 tahun sebagai programer dengan memakai persyaratan 3 poin di atasBersedia untuk mengikuti tes programming
6060|Brand Manager / Digital Marketing Specialist|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|Kasual (contoh: Kaos)|||Permata/Perhiasan|Usia 20 – 35 tahunLulusan apapun minimal D3/S1Pengalaman min 1 tahun sebagai Content Creator/Brand Officer/ Marketing DigitalCreative ThinkingMemahami Content Strategy dan Marketing terkiniMampu membangun komunitas sesuai target marketMampu menggunakan Social Media (FB Ads, IG Ads, Tiktok, dll)Memahami SEO / SEM dan KOL ManagementKreatif dan memiliki skill copy writingMemiliki kemampuan membuat design kontenMampu bekerja di dalam team
11869|Social Media Executive|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);BPJS Kesehatan . BPJS Ketenagakerjaan|26 days|51 - 200 pekerja|Akunting / Audit / Layanan Pajak|1. Responsible for the daily maintenance of Facebook, Instagram and other platform accounts;2. Able to provide high-quality, highly disseminated content;3. Responsible for increasing the number of fans, increasing attention and fan activity, and interacting with fans in time;4. Fully understand user needs, collect user feedback, and analyze user behavior and needs.5. Responsible for mining KOLs on YouTube, Instagram or other platforms6. Responsible for negotiating business cooperation with KOL or MCN organizations on Youtube, Instagram and other platforms
24113|Engineering Assistant Manager|Jawa Barat|IDR|Manajer/Asisten Manajer|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Teknik,Teknik Elektro||29 days|1- 50 pekerja|Konsultasi (Bisnis & Manajemen)|Our client, Japanesse Manufacturing Company, 4 wheel automotive part, urgently need:*Engineering Head*Qualifications:1. 35-45 yo2. Experience in same field 3-5 years3. Engineering background4. Familiar in handling project 5. Familiar working with rush deadlineWork location : west javaThank you and have a great time!
4796|Bancassurance Officer (Area: Bali, Sulawesi Utara, Sulawesi Selatan, Sulawesi Tengah, Sulawesi Tenggara)|Palu|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Jasa Keuangan|Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)|14 days|201 - 500 pekerja|Asuransi|Bancassurance Officer adalah Representative dari Panin Dai-chi Life di cabang Bank Panin yang berperan untuk membantu melakukan pemasaran produk Bancassurance.Deskripsi pekerjaan:Melakukan aktivitas penjualan didalam industri BancassuranceMembina dan membangun hubungan professional dengan staff bank dan nasabah bankMelakukan kegiatan after selling (Follow up ke nasabah, reporting, submit case, kelengkapan data nasabah, medical, Etc)Persyaratan:Usia maksimal 35 tahunMemiliki minimum 1 tahun pengalaman sebagai salesLulusan D3/S1 dari semua jurusanKomunikatifBerpenampilan rapiBenefit:Tunjangan TetapTunjangan LainKomisiBonus BulananTunjangan TahunanTunjangan KesehatanTrip gratisPelatihan dan Training
26253|SUPPLY CHAIN MANAGER|Jakarta Barat|IDR|Manajer/Asisten Manajer|5 tahun|Tidak terspesifikasi|Penuh Waktu|Pelayanan,Logistik/Rantai Pasokan|||||Job Description :Bertanggung jawab untuk seluruh Supply Chain operational termasuk Logistik manajemen, pendistribusian barang, pengelolaan DEPO, Perencanaan pengadaan barang & distruibusi, SOP & Prosedur alur kerja, manajemen analisa biaya serta kepuasan customer..Dapat memenuhi & terbiasa dengan Tekanan.Memiliki jaringan koneksi yang luas untuk Logistik sekala NATIONALMemiliki jiwa kepemimpinan yang tinggi, tegas, kritis, analitis & mampu memimpin timQualification :Usia max 40 tahunPendidikan minimal S1 Segala Jurusan (lebih diutamakan S2)Memiliki pengalaman sebagai Supply Chain Manager selama 5 tahun di perusahaan/industri Manufacturing & Fast moving consumer goods (food seasoning & powder drink)Communicative & detail OrientedHave a good commitment & responsibilitiesSelf-motivated & Open MindedAble to work in a fast pace & challenging environmentQuick to adapt & problem solving oriented
27828|Pramuniaga Toko|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Parkir;Kasual (contoh: Kaos);Senin - Minggu, libur 1 hari di Weekdays|30 days|1- 50 pekerja|Retail/Merchandise|Job desc :Melayani customer yang datangMembersihkan toko / menjaga kebersihan tokoMenyiapkan barang yang akan di kirim / packing barangTerlibat dalam melakukan stock opnameMengecek setiap barang yang datang dari supplierMenyimpan barang dari toko ke gudangKriteria :Usia 21 - 30Bersedia bekerja di bidang alkoholSiap bekerja dengan targetDisiplinMemiliki kepribadian yang jujur, teliti, rajin dan bertanggung jawabMampu berkomunikasi dengan baik dan tidak banyak alasanGesit / Cepat berinisiatifMemiliki SIM C atau ATidak pernah melakukan tindak pidana atau kriminalTIDAK MENGKONSUMSI OBAT-OBATAN TERLARANGDomisili JABODETABEKSUDAH VAKSIN
4901|FASHION DESIGNER|Jakarta Barat|IDR|Supervisor/Koordinator|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Bisnis (contoh: Kemeja);Senin - Sabtu||1- 50 pekerja|Tekstil/Garment|Kualifikasi:Pendidikan minimal Diploma/Sarjana Tekstil/Fashion Design/Jurusan yang berhubungan dengan dengan fashionBerpengalaman sebagai Fashion Designer minimal 3 tahunBerpengalaman pada Fashion Industry, dapat menganalisa produk dan pasar yang kuatUnik, kreatif, dinamis, energik & proaktifMemiliki pengalana dalam Project Fashion ShowMengetahui Teknik Printing/Pattern/Sewing dan fabric (kain) yan baikMampu Mengimplementasikan Ide atau Konsep Desain menjadi produk yang diterima customerMampu bekerja individual maupun dalam tim dengan baik, jujur, disiplin, komunikasi yang jelas dan bersemangat tinggiBersedia bergabung secepatnyaTugas dan Tanggung Jawab:Membuat Moodboard dan arah design ProdukBertanggung jawab atas DesainMentukan tren warna dan bahan yang digunakan serta aksesoris untuk produkMempunyai jiwa pemimpin dalam mengarahkan tim (pattern maker dan sampling) dalam pengembangan koleksiMempresentasikan konsep & sample design kepada owner setiap minggunyaBerkolaborasi dengan KOL untuk special collectionMembuat konsep bersama ilustrator untuk exclusive print / patternMelakukan pengawasan terhadap kegiatan produksi agar hasil produksi sesuai dengan arahan design yang ingin dihasilkan
30678|Administrasi Staff di Bandung|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Staf / Administrasi umum|Asuransi Gigi;Asuransi kesehatan;Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Pension|7 days|1001 - 2000 pekerja|Telekomunikasi|Kualifikasi:Usia maksimal 35 tahunD3/S1 semua jurusanPengalaman minimal 1 tahun sebagai admin staffFresh graduates yang mau belajar dengan cepat dipersilahkan melamarDeskripsi:Menangani pengajuan klaim dan melakukan follow up nya termasuk pengembalian barang ke dealerMembuat laporan klaim dan kerusakan bulanan.Melakukan filing tanda terima dan dokumen-dokumen
4756|Marketing experience|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis|Tunjangan Pendidikan;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Bisnis (contoh: Kemeja);Senin-Jumat pukul 08.00 sampai 17.00 WIB, Sabtu pukul 09.00 sampai 14.00 WIB|28 days|1- 50 pekerja|Transportasi/Logistik|Wanitaa, usia maximal 30 TahunKandidat harus memiliki setidaknya pengalaman minimal 2 tahun diposisi marketing dibidang apapunDiutamakan Lulusan Public Relation/Ilmu KomunikasiMemiliki good lookingKreatif, gesit, energik dan terbiasa bekerja dengan system targetBerhubungan dengan team internal & external untuk memastikan bahwa tugas selesai tepat waktuKeterampilan komunikasi yang baik, keterampilan interpersonal yang baik dan mampu bekerja dibawah tekananBerkomunikasi dengan audiens target dan membangun hubungan pelangganMemelihara dan memperbarui basis data pelangganMengembangkan strategi pemasaran yang efisien dan intuitifMengawasi dan mengembangkan kampanye pemasaranMelakukan riset dan analisis pasar untuk mengidentifikasi audiens targetLebih disukai memiliki pengalaman kerja sebagai sales indoor/outdoorMencapai tujuan penjualan dan pemasaran dengan merencanakan, mengembangkan, menerapkan program promosi perusahaan dengan cara offline dan onlineMenguasai Ms Office (Word, Excel & powerpoint)Terbiasa bekerja dengan menggunakan sales forecast dan sales FunnelMemiliki Sim A
19290|Sales Executive|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Tip;Asuransi kesehatan;Penglihatan;Bisnis (contoh: Kemeja);Mon - Sat||1- 50 pekerja|Retail/Merchandise|SALES EXECUTIVE – JAKARTA (CV. HARAPAN DAMAI)Dibutuhkan Sales untuk produk Makanan dan Minuman dengan target channel Horeca (Hotel, Restaurant dan Cafe).Deskripsi pekerjaan:Menawarkan produk kepada konsumen (outlet) seperti hotel, restaurant & cafe.Menjaga relasi.Membuat laporan kunjungan.Mendapatkan konsumen baru.Kualifikasi:Memiliki SIM C & Motor PribadiMin pendidikan SMASetidaknya 1 Tahun pengalaman kerja di bidang Sales / Marketing.Umur Maks 30 TahunMemiliki semangat untuk mengejar target.Cepat beradaptasi dan mampu membangun relasi dengan konsumen.Mempunyai integritas dan kejujuran dalam bekerja.Memiliki pengetahuan di industri F&B merupakan nilai plus.
6956|Account Officer|Jawa Timur|IDR|Pegawai (non-manajemen & non-supervisor)||SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Jasa Keuangan|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|28 days|501 - 1000 pekerja|Perbankan/Pelayanan Keuangan|PT Dana Mandiri Sejahtera bergerak di bidang jasa pembiayaan modal kerja bagi keluarga yang ada di perkampungan pedesaan, memberikan kesempatan bagi semua orang untuk bergabung dengan kami sebagai AOKualifikasi :Usia maksimal 27 tahunLulus SMA/SMK SederajatMampu mengendarai sepeda motor manual, SIM C dapat menyusul jika lulus seleksiBersedia ditempatkan di wilayah kerja DMS / sesuai domisiliJawa Timur : Ngawi , Madiun , Nganjuk , Jombang , Blitar , Malang ,KediriJawa Tengah : Wonogiri , Wonosari , Pacitan , Wonogiri , Ponorogo ,MagetanBanten : Balaraja , Lebak , Sepatan , Teluknaga , Pandeglang ,JayantiTanggung Jawab :Membantu memberikan dan menawarkan modal usaha bagi keluarga prasejahtera melalui program pembiayaan PT. Dana Mandiri SejahteraSosialisasi ke pedesaan perihal program PT. Dana Mandiri SejahteraFasilitas :Menjadi Karyawan Tetap , 6 bulan langsung tetapGaji Menarik (BONUS dan THR)Tempat tinggal ( Mess )SembakoMotor : kendaraan dinas ( Motor standard / manuakl )Uang Bensin
3045|Sales Supervisor FMCG ( GT ) - Area Batam|Batam|IDR|Supervisor/Koordinator|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Penjualan / Pemasaran,Penjualan Ritel|Tip;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|26 days|51 - 200 pekerja|Lainnya|Melakukan monitoring data Selling in - Selling Out distributor, serta membuat laporan penjualan bulanan, EC, AV, OA di masing-masing area penjualan yang ditetapkan. Memastikan display produk sesuai dengan seharusnya, Dapat melakukan monitoring dan dapat bekerja sama dengan tim sales distributor dengan baik. Menjaga hubungan dengan semua mitra kerja dengan baikHARUS MEMILIKI PENGALAMAN SEBAGAI SUPERVISOR SALES - GENERAL TRADE MINIMAL 2 TAHUNKebutuhan Sales Supervisor untuk Area:Kepulauan Riau – Batam  KUALIFIKASI:Usia maksimum 35 tahunPendidikan minimal D3/S1 segala jurusanBerpengalaman sebagai SUPERVISOR SALES - GENERAL TRADE minimal 2 tahun, diutamakan dari industry FMCG Dapat menghitung inventory / Selling-in dan Selling-out, terbiasa dengan laporan data EC, AV, OADapat Membuat Laporan penjualan menggunakan Excel serta harus bisa membuat PIVOT TABLELOKASI KANTOR: BATAMDiutamakan kandidat yang berdomisili di Batam. Tidak ada fasilitas penempatan
31105|Interface Specialist|Jakarta Selatan|IDR|Supervisor/Koordinator|3 tahun|Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Free Lunch, Corporate Outing, Attractive Compensation (Sales), Free Flow Coffee|2 days|201 - 500 pekerja|Komputer/Teknik Informatika (Perangkat Lunak)|We are looking for a specialist that will work in a large- scale project targeted to implement a web application as an interface specialist for the communication with external systems.Responsibilities:Meet with clients or management to understand the needs for interfaces and the respective data to be exchanged with external systemsDefine methods and standards for the communication between our web-based application and data base and external systems or data sourcesProvide guidance to the development teams regarding the implementation of interfacesConsult with our business analysts to understand the needs concerning data elements to be exchanged via interfaces with external systemsOversee all operations related to the implementation and testing of interfacesReport any issues related to interfaces back to the business analysts and/or development teamParticipate in tests and create documentation, as neededRequired skills:Basic understanding of database structures and functionality as they affect interface designAdaptable skills and a willing to take on new responsibilitiesStrong analytical, troubleshooting, and technical skillsThe ability to interpret instructions from diverse sourcesExcellent verbal and written communication skills and a commitment to collaborate with peopleExperience engaging with people across a variety of levels with diverse backgroundsA commitment to do the right things rightMinimum qualifications:A bachelor’s degree and prior work-related experience or equivalentMinimum 3 years of experience in working with APIs (Postman, SoapUI).Good understanding of JSON and XML data structuresSolid knowledge in working with SQL data basesProficient English communication and writing skills are a mustProgramming skills in an object-oriented programming language are an asset (e.g. C#, Java)
29897|HR-GA Staff|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR|Tip;Bisnis (contoh: Kemeja);Monday - Saturday|22 days|1- 50 pekerja|Umum & Grosir|Kualifikasi:1.     Pendidikan terakhir S1 Psikologi / Manajemen Sumber Daya Manusia.2.     Berpengalaman di bidang HRGA Minimal 3 – 5 tahun.3.     Memiliki strategi Planning, Organizing, Staffing, Directing & Controlling.4.     Memiliki pengalaman & memahami Recruitment, Training & Performance Appraisal5.     Profesional, cekatan, pekerja keras, jujur, setia, proaktif & memiliki inisiatif tinggi.6.     Suka mengerjakan hal-hal yang bersifat mendetail & rumit.7.     Dapat bekerja sama dengan seluruh karyawan untuk memajukan perusahaan.8.     Memiliki kemampuan pemecahan masalah yang baik.9.     Menguasai Ms. Office Word & Excel (V-look up, H-look up, IF, Pivot Table).10. Dapat bergabung secepatnya.Deskripsi Pekerjaan:1.  Posting iklan lowongan kerja di Job portal / sosial media.2.  Merekrut karyawan sesuai kebutuhan di tiap divisi.3.  Melakukan proses psikotes seleksi calon karyawan & dapat mempertanggungjawabkan keputusan & hasilnya.4.  Melakukan training & staffing (membagi tugas sesuai dengan porsi & posisi staff, memastikan semua berjalan sesuai SOP perusahaan).5.  Monitoring dan membuat kontrak kerja karyawan.6.  Mengelola kepesertaan BPJS7.  Mengolah data absensi (cuti, izin, sakit)8.  Bertanggung jawab atas kegiatan transisi, seleksi karyawan, demosi & promosi sesuai dengan kebutuhan perusahaan.9.  Melakukan tindakan disipliner pada karyawan yang melanggar peraturan & kebijakan perusahaan.10.Memonitor, mengukur & melaporkan tentang permasalahan, peluang & rencana pengembangan SDM .11.Membuat laporan HR Matriks yang berkaitan dengan Turnover Rates.12.Menyelenggarakan kegiatan tahunan yang bermanfaat dalam peningkatan keakraban dari semua karyawan termasuk juga memotivasi karyawan agar bekerja lebih optimal.13.Surat menyurat HR department14.Melakukan pengontrolan terhadap pekerjaan OB & Driver yang meliputi pemeliharaan ruko termasuk pemeliharaan inventaris & mengawasi ketersediaan stationery (ATK).15. Bertanggung jawab atas maintenance kendaraan untuk mengoptimalkan efektivitas & efisiensi penggunaan kendaraan dinas & operasional harian.16.Mendukung kegiatan operasional perusahaan melalui pengadaan barang & jasa yang dibutuhkan.17.Bertanggung jawab pada pembayaran & pembelian rutin, seperti air minum, (ATK), kertas, tinta printer, listrik, air, telepon, Wi-Fi, dll.18.Monitoring asset kantor dan gudang19.Bertanggung jawab atas pengarsipan dokumen.20.Memproses semua dokumen yang berhubungan dengan General Affairs sebelum diteruskan ke bagian lain
5464|Manager Operasional Industri|Banten|IDR|Supervisor/Koordinator|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material|Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|3 days|51 - 200 pekerja|Manufaktur/Produksi|Lokasi kerja Pergudangan 99 Blok CA - CC Jl Salembaran Raya (googlemap ketik pt tdspaint)JOB REQUIREMENT / Syarat Kerja :Minimal Lulusan S1.Umur 26 - 39 tahun.Pengalaman jabatan Manager Operational minimal 5 tahun.Tegas, Bertanggung jawab, Disiplin dan Proaktif dalam bekerja.Komitmen kerja, menyelesaikan tugas yang diberikan.On time / Tepat waktu dalam kehadiran dan kerja.Mampu mengatur dan membimbing karyawan & buruh.Mampu menjadi Human Resources melakukan proses recruitment dengan cepat.JOB DESCRIPTION :Memahami dan mampu menerapkan sistem ISO 9001 : Sistem Managemen Mutu dalam proses operasional gudang, distribusi dan produksiMengkoordinasikan dan mengontrol pelaksanaan sistem dan prosedur berkaitan dengan produksi dan distribusiBerpartisipasi dalam mengembangkan SOP produksi dan distribusi unit opersionalMengkoordinasikan dan mengendalikan aktivitas produksi dan distribusi unit operasionalMelakukan perekrutan karyawan & buruh pekerjaMelakukan efisiensi dalam pengeluaran operasional, mengatur jam kerja dengan baikMelakukan eliminasi terhadap pengeluaran operasional yag tidak pentingMemahami dan menerapkan 5 R (Ringkas, Rapi, Resik, Rawat dan Rajin)
26464|Recruitment Specialist|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR||21 days|51 - 200 pekerja|Perbankan/Pelayanan Keuangan|Deskripsi pekerjaan:Memiliki kemampuan dalam mencari, menyeleksi dan merekrut karyawan dari level staff sampai manager guna memenuhi kebutuhan tenaga kerja perusahaanMemiliki network yang luas dengan lembaga-lembaga pendidikan / pelatihanBertanggungjawab dan membantu memenuhi tersedianya tenaga kerja sesuai dengan kualifikasi yag dibutuhkanMembuat laporan tentang kebutuhan tenaga kerja dengan kualifikasi yagn dibutuhkanTerbiasa membuat SOP RekruitmentMelakukan pemanggilan calon karyawan untuk mengikuti test / interview sesuai jadwal yang telah ditentukanMembuat dan mempersiapkan lembar test dan daftar calon yang akan ditestKriteria :Usia Maksimal 35 tahunPengalaman sebagai Specialist Recruitment selama 2 TahunPernah bekerja dibidang Head Hunter lebih diutamakanMenguasai alat test psikologi / psikotes ( DISC, MBTI,IQ,Kraeplin, Pauli,dll ) dan microsoft officeWajib VaksinPenempatan Sahid SudirmanWalk Interview :Senin - Jumat10:00 s/d 15:00 WIBSahid Sudirman Center, Lantai 20 Unit 20AE Karet Tengsin Jakarta Pusat
6084|Golang Developer|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Kesehatan, BPJS Ketenagakerjaan|1 day|1- 50 pekerja|Komputer/Teknik Informatika (Perangkat Lunak)|We are looking for a great Go developer who possesses a strong understanding of how best to leverage and exploit the language’s unique paradigms, idioms, and syntax. Your primary focus will be on developing Go packages and programs that are scalable and maintainable. You will ensure that these Go packages and programs are well documented and has a reasonable test coverageYour Responsible:Build API using Golang (Go)Create new function on existing productsResponsible for project completionInvolved in the various phases of the SDLC (Software Development Life Cycle) Your Profile:Graduated from Diploma/Bachelor/Master Degree in Information Technology Major or equivalentMinimum 2 year experience as Golang DeveloperStrong knowledge of Go programming language, paradigms, construct, and idiomsOpen for learning new things related to Go and willing to collaborate with othersStrong in analytical thinking skill & problem solvingGood logical thinking and fast learnerAdditional Factor We Appreciate:You have experience working with MS SQL Server, and .NETYou able to work fast and under pressuredYou have excellent interpersonal communication skillsYou willing to work overtime and in tight deadlinePlease Bring income or salary statement when meeting with us (Online Meeting)
9383|Senior Financial Advisor (Bancassurance) - ALL JAWA TENGAH|Bekasi|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Jasa Keuangan|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)|27 days|501 - 1000 pekerja|Perbankan/Pelayanan Keuangan|DESKRIPSI PEKERJAAN Financial Advisor (FA) adalah perencana keuangan nasabah. Financial Advisor memiliki peran penting sebagai ujung tombak perusahaan yang mencakup layanan sales dan service. Sales dimana Financial Advisor bertugas untuk merencanakan, dan memasarkan produk asuransi sesuai dengan kebutuhan nasabah sedangkan Service dimana FA juga berperan dalam pelayanan klaim ataupun komplain asuransi dari nasabah AXA Mandiri. Financial Advisor (FA) nantinya akan ditempatkan di cabang Bank Mandiri. KUALIFIKASIPendidikan minimal D3 dari semua jurusanMemiliki teknik komunikasi yang baikTertarik dalam bidang Perbankan dan AsuransiMemiliki pengalaman kerja (minimal 2 tahun pada bidang Sales Asuransi / bancassurance specialist, disertai surat keterangan kerja.Bersedia ditempatkan diseluruh wilayah cabang Bank Mandiri di seluruh area JAWA TENGAH.BENEFIT Tunjangan selama mengikuti pelatihanInsentif BulananKomisi BulananAsuransi KesehatanSubsidi New tablet untuk All FABPJS KetenagakerjaanAsuransi Kesehatan keluarga (untuk FA > 2 tahun)Management Development Program (MDP) untuk jenjang karirBonus lainnya (bonus kemitraan, activity bonus, Super FA bonus)
